1								1
10								10
100								100
101								101
102								102
103								103
103								103
104								104
106								106
106								106
106								106
108								108
109								109
110								110
111								111
111								111
112								112
113								113
113								113
113								113
116								116
118								118
119								119
119								119
12								12
12								12
120								120
120								120
120								120
121								121
123								123
125								125
125								125
127								127
128								128
128								128
129								129
130								130
131								131
131								131
133								133
133								133
134								134
134								134
135								135
135								135
137								137
137								137
139								139
14								14
141								141
142								142
142								142
142								142
143								143
145								145
145								145
146								146
146								146
147								147
147								147
147								147
148								148
148								148
148								148
148								148
149								149
15								15
153								153
154								154
155								155
157								157
161								161
163								163
164								164
166								166
167								167
168								168
168								168
169								169
171								171
174								174
174								174
174								174
175								175
175								175
178								178
179								179
18								18
18								18
180								180
181								181
185								185
186								186
186								186
19								19
190								190
192								192
192								192
192								192
195								195
195								195
196								196
196								196
197								197
198								198
199								199
2								2
2								2
20								20
20								20
20								20
200								200
200								200
201								201
201								201
202								202
203								203
205								205
205								205
206								206
207								207
207								207
208								208
208								208
208								208
208								208
209								209
209								209
209								209
212								212
212								212
213								213
213								213
214								214
216								216
219								219
22								22
220								220
223								223
225								225
225								225
227								227
228								228
228								228
228								228
229								229
23								23
23								23
230								230
230								230
231								231
231								231
231								231
233								233
235								235
238								238
238								238
239								239
24								24
240								240
241								241
242								242
242								242
244								244
245								245
246								246
246								246
247								247
248								248
249								249
249								249
251								251
251								251
252								252
253								253
254								254
255								255
255								255
257								257
257								257
258								258
259								259
259								259
259								259
26								26
261								261
263								263
263								263
263								263
263								263
265								265
265								265
265								265
268								268
270								270
270								270
270								270
271								271
271								271
272								272
272								272
272								272
273								273
274								274
275								275
276								276
277								277
277								277
277								277
278								278
279								279
280								280
280								280
281								281
282								282
283								283
284								284
285								285
285								285
288								288
288								288
288								288
288								288
289								289
29								29
29								29
290								290
290								290
290								290
291								291
291								291
293								293
294								294
294								294
294								294
295								295
295								295
295								295
297								297
298								298
298								298
299								299
299								299
30								30
30								30
301								301
301								301
303								303
305								305
306								306
307								307
309								309
309								309
31								31
31								31
31								31
31								31
310								310
311								311
312								312
315								315
316								316
316								316
317								317
318								318
319								319
32								32
32								32
320								320
320								320
321								321
322								322
323								323
324								324
324								324
326								326
327								327
329								329
33								33
330								330
331								331
332								332
333								333
334								334
337								337
338								338
339								339
339								339
34								34
34								34
340								340
340								340
342								342
342								342
342								342
344								344
344								344
345								345
347								347
347								347
347								347
35								35
35								35
35								35
350								350
352								352
353								353
354								354
354								354
355								355
355								355
355								355
357								357
357								357
357								357
358								358
36								36
360								360
365								365
367								367
367								367
368								368
